Zeit,Vollständiger Name,Ereigniskontext - Ereignisname
24.11.2022 13:18,Student21,Datei: Session 4 - Kursmodul angezeigt
24.11.2022 13:18,Student21,Kurs: Scripting #2 - Python - Kurs angezeigt
24.11.2022 03:59,0,Kurs: Scripting #2 - Python - Kursbeschreibung angezeigt
24.11.2022 01:47,Student34,Kurs: Scripting #2 - Python - Nutzerübersicht für Kurs angezeigt
23.11.2022 19:23,Student35,Kurs: Scripting #2 - Python - Kurs angezeigt
23.11.2022 19:23,Student35,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
23.11.2022 19:23,Student35,Kurs: Scripting #2 - Python - Kurs angezeigt
23.11.2022 15:21,Student31,Kurs: Scripting #2 - Python - Kurs angezeigt
23.11.2022 13:27,Student11,Kurs: Scripting #2 - Python - Kurs angezeigt
23.11.2022 10:33,Student33,Kurs: Scripting #2 - Python - Kurs angezeigt
23.11.2022 10:33,Student33,Test: Exam Attempt 1 - Kursmodul angezeigt
23.11.2022 10:33,Student33,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
23.11.2022 10:33,Student33,Kurs: Scripting #2 - Python - Kurs angezeigt
23.11.2022 10:31,Student33,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
23.11.2022 10:29,Student33,Kurs: Scripting #2 - Python - Kurs angezeigt
22.11.2022 19:48,Student35,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
22.11.2022 10:53,Student22,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
21.11.2022 23:01,Student21,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
21.11.2022 17:57,Student11,Kurs: Scripting #2 - Python - Kurs angezeigt
21.11.2022 17:11,Student18,Kurs: Scripting #2 - Python - Kurs angezeigt
21.11.2022 14:29,Student16,Kurs: Scripting #2 - Python - Kurs angezeigt
21.11.2022 14:23,Student36,Kurs: Scripting #2 - Python - Kurs angezeigt
21.11.2022 11:17,Student5,Kurs: Scripting #2 - Python - Kurs angezeigt
21.11.2022 02:32,0,Kurs: Scripting #2 - Python - Kursbeschreibung angezeigt
20.11.2022 10:58,Student33,Kurs: Scripting #2 - Python - Kurs angezeigt
19.11.2022 20:47,Student25,Datei: Session 1 - Kursmodul angezeigt
19.11.2022 20:47,Student25,Datei: Organizational things - Kursmodul angezeigt
19.11.2022 20:47,Student25,Kurs: Scripting #2 - Python - Kurs angezeigt
19.11.2022 17:03,Student7,Kurs: Scripting #2 - Python - Kurs angezeigt
19.11.2022 16:19,Student25,Kurs: Scripting #2 - Python - Kurs angezeigt
19.11.2022 13:46,Student22,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
19.11.2022 12:46,Student22,Kurs: Scripting #2 - Python - Kurs angezeigt
18.11.2022 11:53,Student23,Test: Quiz 1 - Kursmodul angezeigt
18.11.2022 11:52,Student23,Test: Quiz 1 - Kursmodul angezeigt
18.11.2022 11:52,Student23,Kurs: Scripting #2 - Python - Kurs angezeigt
18.11.2022 11:35,Student34,Kurs: Scripting #2 - Python - Nutzerübersicht für Kurs angezeigt
18.11.2022 10:22,Student11,Kurs: Scripting #2 - Python - Kurs angezeigt
18.11.2022 10:21,Student11,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
18.11.2022 10:21,Student11,Kurs: Scripting #2 - Python - Kurs angezeigt
18.11.2022 10:08,Student5,Kurs: Scripting #2 - Python - Kurs angezeigt
18.11.2022 10:07,Student5,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
18.11.2022 10:07,Student5,Kurs: Scripting #2 - Python - Kurs angezeigt
18.11.2022 09:18,Student8,Datei: Session 1 - Kursmodul angezeigt
18.11.2022 09:18,Student8,Kurs: Scripting #2 - Python - Kurs angezeigt
18.11.2022 09:18,Student8,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
17.11.2022 19:37,Student16,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 19:29,Student33,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 19:28,Student31,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 18:00,Student16,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 18:00,Student16,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 18:00,Student16,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
17.11.2022 18:00,Student16,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 17:58,Student11,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 17:23,Student22,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
17.11.2022 16:03,Student35,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 16:03,Student35,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
17.11.2022 16:03,Student35,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 16:00,Student1,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 16:00,Student35,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 16:00,Student35,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 16:00,Student35,Datei: Organizational things - Kursmodul angezeigt
17.11.2022 16:00,Student35,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 16:00,Student35,Forum: Announcements - Kursmodul angezeigt
17.11.2022 15:59,Student35,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 15:55,Student1,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 15:55,Student1,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
17.11.2022 15:55,Student1,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 15:28,Student16,Datei: Session 1 - Kursmodul angezeigt
17.11.2022 15:27,Student16,Datei: Organizational things - Kursmodul angezeigt
17.11.2022 15:27,Student16,Datei: Organizational things - Kursmodul angezeigt
17.11.2022 15:27,Student16,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 15:27,Student8,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 15:26,Student16,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
17.11.2022 15:26,Student16,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 10:20,Student17,Kurs: Scripting #2 - Python - Kurs angezeigt
17.11.2022 05:18,0,Kurs: Scripting #2 - Python - Kursbeschreibung angezeigt
16.11.2022 23:17,Student22,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
16.11.2022 23:17,Student22,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
16.11.2022 21:25,Student21,Kurs: Scripting #2 - Python - Kurs angezeigt
16.11.2022 20:03,Student27,Kurs: Scripting #2 - Python - ZIP heruntergeladen
16.11.2022 20:03,Student27,Kurs: Scripting #2 - Python - Download Center angezeigt
16.11.2022 20:03,Student27,Kurs: Scripting #2 - Python - Kurs angezeigt
16.11.2022 19:57,Student27,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
16.11.2022 19:28,Student18,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
16.11.2022 15:49,Student1,Kurs: Scripting #2 - Python - Kurs angezeigt
16.11.2022 15:49,Student1,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
16.11.2022 15:49,Student1,Kurs: Scripting #2 - Python - Kurs angezeigt
16.11.2022 15:47,Student21,Kurs: Scripting #2 - Python - Kurs angezeigt
16.11.2022 15:14,Student22,Kurs: Scripting #2 - Python - Bewertungsübersicht angezeigt
16.11.2022 12:14,0,Kurs: Scripting #2 - Python - Kursbeschreibung angezeigt
16.11.2022 09:49,Student16,Kurs: Scripting #2 - Python - Kurs angezeigt
16.11.2022 08:18,Student11,Kurs: Scripting #2 - Python - Kurs angezeigt
16.11.2022 07:03,Student8,Test: Exam Attempt 1 - Kursmodul angezeigt
16.11.2022 07:03,Student8,Kurs: Scripting #2 - Python - Kurs angezeigt
