Zeit,Vollständiger Name,Ereigniskontext - Ereignisname
8.11.2022 19:27,Student13,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:26,Student16,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:26,Student31,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:26,Student33,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:25,Student34,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:22,Student1,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:21,Student36,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:19,Student21,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:15,Student25,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:14,Student6,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:03,Student23,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:01,Student5,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:01,Student32,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 19:00,Student35,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:45,Student36,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:42,Student13,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:41,Student1,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:41,Student16,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:41,Student34,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:41,Student31,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:41,Student6,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:41,Student33,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:40,Student23,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:40,Student21,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:40,Student5,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:40,Student25,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:39,Student32,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:39,Student35,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 18:36,Student22,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:36,Student8,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:35,Student37,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:35,Student11,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:35,Student30,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:34,Student24,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:32,Student9,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:24,Student19,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:22,Student18,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:18,Student14,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:17,Student27,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:10,Student26,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 18:09,Student29,Test: Exam Attempt 1 - Testversuch eingereicht
8.11.2022 17:51,Student24,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student14,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student29,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student26,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student27,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student11,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student22,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student9,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student8,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student19,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student18,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student30,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:51,Student37,Test: Exam Attempt 1 - Testversuch gestartet
8.11.2022 17:26,Student25,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 17:17,Student6,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 16:58,Student6,Test: Quiz 7 - Testversuch gestartet
8.11.2022 16:45,Student25,Test: Quiz 7 - Testversuch gestartet
8.11.2022 16:08,Student13,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 15:52,Student13,Test: Quiz 7 - Testversuch gestartet
8.11.2022 14:06,Student11,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 14:03,Student13,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 14:02,Student11,Test: Quiz 7 - Testversuch gestartet
8.11.2022 13:19,Student13,Test: Quiz 7 - Testversuch gestartet
8.11.2022 12:52,Student37,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 12:37,Student37,Test: Quiz 7 - Testversuch gestartet
8.11.2022 11:46,Student32,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 11:40,Student32,Test: Quiz 7 - Testversuch gestartet
8.11.2022 11:40,Student32,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 11:38,Student32,Test: Quiz 7 - Testversuch gestartet
8.11.2022 11:38,Student32,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 11:21,Student32,Test: Quiz 7 - Testversuch gestartet
8.11.2022 11:21,Student32,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 11:00,Student32,Test: Quiz 7 - Testversuch gestartet
8.11.2022 11:00,Student32,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 10:59,Student32,Test: Quiz 7 - Testversuch gestartet
8.11.2022 10:58,Student32,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 10:29,Student32,Test: Quiz 7 - Testversuch gestartet
8.11.2022 10:29,Student32,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 09:51,Student32,Test: Quiz 7 - Testversuch gestartet
8.11.2022 01:52,Student16,Test: Quiz 7 - Testversuch eingereicht
8.11.2022 01:21,Student16,Test: Quiz 7 - Testversuch gestartet
7.11.2022 19:07,Student34,Test: Quiz 7 - Testversuch gestartet
7.11.2022 19:07,Student34,Test: Quiz 7 - Testversuch eingereicht
7.11.2022 18:02,Student5,Test: Quiz 7 - Testversuch eingereicht
7.11.2022 17:46,Student34,Test: Quiz 7 - Testversuch gestartet
7.11.2022 17:45,Student34,Test: Quiz 7 - Testversuch eingereicht
7.11.2022 17:36,Student5,Test: Quiz 7 - Testversuch gestartet
7.11.2022 17:35,Student5,Test: Quiz 7 - Testversuch eingereicht
7.11.2022 17:24,Student5,Test: Quiz 7 - Testversuch gestartet
