Nr,Test: Quiz 1 (Punkte),Test: Quiz 2 (Punkte),Test: Quiz 3 (Punkte),Test: Quiz 4 (Punkte),Test: Quiz 5 (Punkte),Test: Quiz 6 (Punkte),Test: Quiz 7 (Punkte),Quiz gesamt (Punkte),Test: Exam Attempt 1 (Punkte),Test: Exam Attempt 2 (Punkte),Test: Exam Attempt 3 (Punkte),Exams gesamt (Punkte),Kurs gesamt (Punkte),Zuletzt aus diesem Kurs geladen,Name
0,10.00,11.00,10.00,12.00,8.60,11.00,7.00,46.65,50.00,-,-,50.00,97.32,1669295963,Student27
1,9.10,10.80,7.70,7.70,-,6.10,4.00,30.37,47.50,-,-,47.50,81.30,1669295963,Student18
3,10.00,11.00,10.00,12.00,13.40,10.50,4.00,46.78,35.00,-,-,35.00,79.42,1669295963,Student33
4,10.00,11.00,10.00,10.90,13.80,11.00,7.00,49.08,28.00,-,-,28.00,72.86,1669295963,Student34
5,10.00,11.00,10.00,12.00,14.00,11.00,7.00,50.00,47.50,-,-,47.50,97.00,1669295963,Student1
6,9.70,11.00,10.00,12.00,14.00,11.00,7.00,49.78,32.00,-,-,32.00,78.23,1669295963,Student11
7,10.00,11.00,10.00,8.80,-,-,-,25.22,-,-,-,-,20.17,1669295963,Student15
8,9.50,11.00,10.00,11.00,13.10,10.70,1.00,43.17,48.00,-,-,48.00,92.13,1669295963,Student37
9,7.80,9.40,9.10,11.70,10.30,9.00,3.90,40.43,46.70,-,-,46.70,88.38,1669295963,Student25
10,10.00,11.00,10.00,12.00,14.00,11.00,7.00,50.00,50.00,-,-,50.00,100.00,1669295963,Student29
11,10.00,11.00,9.20,10.70,11.70,10.00,3.00,43.24,43.00,-,-,43.00,86.20,1669295963,Student9
12,10.00,11.00,10.00,12.00,14.00,11.00,7.00,50.00,48.00,-,-,48.00,97.60,1669295963,Student24
13,10.00,11.00,10.00,12.00,14.00,11.00,7.00,50.00,46.00,-,-,46.00,95.20,1669295963,Student14
14,10.00,11.00,10.00,9.00,12.00,9.00,7.00,45.13,36.00,-,-,36.00,79.31,1669295963,Student30
15,10.00,11.00,10.00,12.00,13.70,11.00,6.70,49.57,48.00,-,-,48.00,97.25,1669295963,Student36
16,10.00,11.00,10.00,12.00,14.00,11.00,7.00,50.00,50.00,-,-,50.00,100.00,1669295963,Student19
17,10.00,11.00,10.00,11.00,13.80,10.80,4.00,46.52,48.00,-,-,48.00,94.82,1669295963,Student35
18,10.00,11.00,10.00,12.00,12.00,11.00,7.00,48.76,17.00,-,-,17.00,59.41,1669295963,Student22
19,10.00,11.00,10.00,11.00,14.00,10.20,6.20,48.03,45.00,-,-,45.00,92.43,1669295963,Student5
20,10.00,11.00,10.00,12.00,14.00,11.00,7.00,50.00,33.00,-,-,33.00,79.60,1669295963,Student21
21,10.00,10.80,10.00,12.00,13.80,9.80,6.70,48.63,50.00,-,-,50.00,98.90,1669295963,Student23
22,-,-,-,-,-,-,-,-,-,-,-,-,-,1669295963,Student7
23,10.00,11.00,10.00,11.60,13.80,11.00,7.00,49.59,44.00,-,-,44.00,92.47,1669295963,Student26
24,10.00,11.00,10.00,12.00,14.00,1.00,7.00,42.75,50.00,-,-,50.00,94.20,1669295963,Student6
25,10.00,11.00,10.00,12.00,14.00,11.00,7.00,50.00,50.00,-,-,50.00,100.00,1669295963,Student32
26,10.00,10.00,10.00,12.00,14.00,11.00,7.00,49.34,32.50,-,-,32.50,78.47,1669295963,Student13
27,10.00,11.00,10.00,12.00,-,-,-,27.54,-,-,-,-,22.03,1669295963,Student28
28,10.00,11.00,10.00,12.00,13.70,11.00,7.00,49.81,40.00,-,-,40.00,87.85,1669295963,Student8
29,10.00,11.00,10.00,11.60,14.00,10.80,7.00,49.57,27.00,-,-,27.00,72.05,1669295963,Student16
30,10.00,11.00,10.00,12.00,14.00,11.00,7.00,50.00,31.00,-,-,31.00,77.20,1669295963,Student31
