Zeit,Vollständiger Name,Ereigniskontext,Komponente,Ereignisname,
11.01.2022 23:41,StudierenderA,Aufgabe: Final presentation,Aufgabe,ABgaBestatus angezeigt,
11.01.2022 23:41,StudierenderA,Aufgabe: Final presentation,Aufgabe,Feedback angezeigt,
11.01.2022 23:41,StudierenderA,Aufgabe: Final presentation,Aufgabe,Kursmodul angezeigt,
15.12.2021 10:40,StudierenderA,Aufgabe: Final presentation,Aufgabe,ABgaBestatus angezeigt,
15.12.2021 10:40,StudierenderA,Aufgabe: Final presentation,Aufgabe,Kursmodul angezeigt,
21.12.2021 12:06,StudierenderA,Aufgabe: Final presentation,Aufgabe,ABgaBeformular angezeigt,
21.12.2021 12:06,StudierenderA,Aufgabe: Final presentation,Aufgabe,Kursmodul angezeigt,
21.12.2021 12:06,StudierenderA,Aufgabe: Final presentation,Aufgabe,ABgaBestatus angezeigt,
21.12.2021 12:06,StudierenderA,Aufgabe: Final presentation,Aufgabe,Kursmodul angezeigt,
21.12.2021 12:09,StudierenderA,Aufgabe: Final presentation,Aufgabe,ABgaBestatus angezeigt,
21.12.2021 12:09,StudierenderA,Aufgabe: Final presentation,Aufgabe,Kursmodul angezeigt,
21.12.2021 12:09,StudierenderA,Aufgabe: Final presentation,Aufgabe,Eine Lösung wurde aBgegeBen.,
21.12.2021 12:09,StudierenderA,Aufgabe: Final presentation,Dateiabgabe,ABgaBe angelegt,
21.12.2021 12:09,StudierenderA,Aufgabe: Final presentation,Dateiabgabe,Datei wurde hochgeladen,
21.12.2021 12:09,StudierenderA,Aufgabe: Final presentation,Aufgabe,Kursmodul angezeigt,
22.01.2022 12:39,StudierenderA,Aufgabe: Final presentation,Aufgabe,ABgaBestatus angezeigt,
22.01.2022 12:39,StudierenderA,Aufgabe: Final presentation,Aufgabe,Feedback angezeigt,
22.01.2022 12:39,StudierenderA,Aufgabe: Final presentation,Aufgabe,Kursmodul angezeigt,
27.01.2022 16:47,StudierenderA,Aufgabe: Final presentation,Aufgabe,ABgaBestatus angezeigt,
27.01.2022 16:47,StudierenderA,Aufgabe: Final presentation,Aufgabe,Feedback angezeigt,
27.01.2022 16:47,StudierenderA,Aufgabe: Final presentation,Aufgabe,Kursmodul angezeigt,
13.11.2021 11:01,StudierenderA,Aufgabe: Upload 1,Aufgabe,ABgaBestatus angezeigt,
13.11.2021 11:01,StudierenderA,Aufgabe: Upload 1,Aufgabe,Kursmodul angezeigt,
26.11.2021 15:44,StudierenderA,Aufgabe: Upload 1,Aufgabe,ABgaBestatus angezeigt,
26.11.2021 15:44,StudierenderA,Aufgabe: Upload 1,Aufgabe,Feedback angezeigt,
26.11.2021 15:44,StudierenderA,Aufgabe: Upload 1,Aufgabe,Kursmodul angezeigt,
20.11.2021 13:22,StudierenderA,Aufgabe: Upload 2,Aufgabe,ABgaBestatus angezeigt,
20.11.2021 13:22,StudierenderA,Aufgabe: Upload 2,Aufgabe,Kursmodul angezeigt,
30.11.2021 19:25,StudierenderA,Aufgabe: Upload 2,Aufgabe,ABgaBestatus angezeigt,
30.11.2021 19:25,StudierenderA,Aufgabe: Upload 2,Aufgabe,Feedback angezeigt,
30.11.2021 19:25,StudierenderA,Aufgabe: Upload 2,Aufgabe,Kursmodul angezeigt,
14.12.2021 18:21,StudierenderA,Aufgabe: Upload 3,Aufgabe,ABgaBestatus angezeigt,
14.12.2021 18:21,StudierenderA,Aufgabe: Upload 3,Aufgabe,Feedback angezeigt,
14.12.2021 18:21,StudierenderA,Aufgabe: Upload 3,Aufgabe,Kursmodul angezeigt,
28.11.2021 23:16,StudierenderA,Aufgabe: Upload 3,Aufgabe,ABgaBestatus angezeigt,
28.11.2021 23:16,StudierenderA,Aufgabe: Upload 3,Aufgabe,Kursmodul angezeigt,
30.11.2021 17:41,StudierenderA,Aufgabe: Upload 3,Aufgabe,ABgaBestatus angezeigt,
30.11.2021 17:41,StudierenderA,Aufgabe: Upload 3,Aufgabe,Kursmodul angezeigt,
30.11.2021 19:24,StudierenderA,Aufgabe: Upload 3,Aufgabe,ABgaBeformular angezeigt,
30.11.2021 19:24,StudierenderA,Aufgabe: Upload 3,Aufgabe,Kursmodul angezeigt,
30.11.2021 19:24,StudierenderA,Aufgabe: Upload 3,Aufgabe,ABgaBestatus angezeigt,
30.11.2021 19:24,StudierenderA,Aufgabe: Upload 3,Aufgabe,Kursmodul angezeigt,
30.11.2021 19:25,StudierenderA,Aufgabe: Upload 3,Aufgabe,ABgaBestatus angezeigt,
30.11.2021 19:25,StudierenderA,Aufgabe: Upload 3,Aufgabe,Kursmodul angezeigt,
30.11.2021 19:25,StudierenderA,Aufgabe: Upload 3,Aufgabe,Eine Lösung wurde aBgegeBen.,
30.11.2021 19:25,StudierenderA,Aufgabe: Upload 3,Dateiabgabe,ABgaBe angelegt,
30.11.2021 19:25,StudierenderA,Aufgabe: Upload 3,Dateiabgabe,Datei wurde hochgeladen,
30.11.2021 19:25,StudierenderA,Aufgabe: Upload 3,Aufgabe,Kursmodul angezeigt,
14.12.2021 18:21,StudierenderA,Aufgabe: Upload 4,Aufgabe,ABgaBestatus angezeigt,
14.12.2021 18:21,StudierenderA,Aufgabe: Upload 4,Aufgabe,Feedback angezeigt,
14.12.2021 18:21,StudierenderA,Aufgabe: Upload 4,Aufgabe,Kursmodul angezeigt,
5.12.2021 20:40,StudierenderA,Aufgabe: Upload 4,Aufgabe,ABgaBestatus angezeigt,
5.12.2021 20:40,StudierenderA,Aufgabe: Upload 4,Aufgabe,Kursmodul angezeigt,
6.12.2021 17:53,StudierenderA,Aufgabe: Upload 4,Aufgabe,ABgaBestatus angezeigt,
6.12.2021 17:53,StudierenderA,Aufgabe: Upload 4,Aufgabe,Kursmodul angezeigt,
11.01.2022 23:41,StudierenderA,Aufgabe: Upload 5,Aufgabe,ABgaBestatus angezeigt,
11.01.2022 23:41,StudierenderA,Aufgabe: Upload 5,Aufgabe,Feedback angezeigt,
11.01.2022 23:41,StudierenderA,Aufgabe: Upload 5,Aufgabe,Kursmodul angezeigt,
12.12.2021 16:24,StudierenderA,Aufgabe: Upload 5,Aufgabe,ABgaBeformular angezeigt,
12.12.2021 16:24,StudierenderA,Aufgabe: Upload 5,Aufgabe,Kursmodul angezeigt,
12.12.2021 16:24,StudierenderA,Aufgabe: Upload 5,Aufgabe,ABgaBestatus angezeigt,
12.12.2021 16:24,StudierenderA,Aufgabe: Upload 5,Aufgabe,Kursmodul angezeigt,
12.12.2021 16:25,StudierenderA,Aufgabe: Upload 5,Aufgabe,ABgaBestatus angezeigt,
12.12.2021 16:25,StudierenderA,Aufgabe: Upload 5,Aufgabe,Kursmodul angezeigt,
12.12.2021 16:25,StudierenderA,Aufgabe: Upload 5,Aufgabe,Eine Lösung wurde aBgegeBen.,
12.12.2021 16:25,StudierenderA,Aufgabe: Upload 5,Dateiabgabe,ABgaBe angelegt,
12.12.2021 16:25,StudierenderA,Aufgabe: Upload 5,Dateiabgabe,Datei wurde hochgeladen,
12.12.2021 16:25,StudierenderA,Aufgabe: Upload 5,Aufgabe,Kursmodul angezeigt,
12.12.2021 16:46,StudierenderA,Aufgabe: Upload 5,Aufgabe,ABgaBeformular angezeigt,
12.12.2021 16:46,StudierenderA,Aufgabe: Upload 5,Aufgabe,Kursmodul angezeigt,
12.12.2021 16:46,StudierenderA,Aufgabe: Upload 5,Aufgabe,ABgaBestatus angezeigt,
12.12.2021 16:46,StudierenderA,Aufgabe: Upload 5,Aufgabe,Kursmodul angezeigt,
12.12.2021 16:47,StudierenderA,Aufgabe: Upload 5,Aufgabe,ABgaBestatus angezeigt,
12.12.2021 16:47,StudierenderA,Aufgabe: Upload 5,Aufgabe,Kursmodul angezeigt,
12.12.2021 16:47,StudierenderA,Aufgabe: Upload 5,Aufgabe,Eine Lösung wurde aBgegeBen.,
12.12.2021 16:47,StudierenderA,Aufgabe: Upload 5,Dateiabgabe,Nutzer/in hat Lösung gesichert.,
12.12.2021 16:47,StudierenderA,Aufgabe: Upload 5,Dateiabgabe,Datei wurde hochgeladen,
12.12.2021 16:47,StudierenderA,Aufgabe: Upload 5,Aufgabe,Kursmodul angezeigt,
1.12.2021 19:01,StudierenderA,Datei: Clustering Notebook - start,Datei,Kursmodul angezeigt,
1.12.2021 19:01,StudierenderA,Datei: Clustering Notebook - start,Datei,Kursmodul angezeigt,
15.01.2022 12:07,StudierenderA,Datei: Conclusion,Datei,Kursmodul angezeigt,
15.01.2022 12:07,StudierenderA,Datei: Data,Datei,Kursmodul angezeigt,
19.01.2022 19:40,StudierenderA,Datei: Data,Datei,Kursmodul angezeigt,
20.11.2021 10:33,StudierenderA,Datei: Data,Datei,Kursmodul angezeigt,
27.11.2021 10:41,StudierenderA,Datei: Data,Datei,Kursmodul angezeigt,
15.01.2022 12:07,StudierenderA,Datei: Exploratory Data Analysis,Datei,Kursmodul angezeigt,
19.01.2022 19:41,StudierenderA,Datei: Exploratory Data Analysis,Datei,Kursmodul angezeigt,
21.01.2022 13:57,StudierenderA,Datei: Exploratory Data Analysis,Datei,Kursmodul angezeigt,
6.12.2021 19:00,StudierenderA,Datei: Industry 4.0/Predictive Maintenance Training,Datei,Kursmodul angezeigt,
15.01.2022 12:07,StudierenderA,Datei: Introduction &amp, Motivation,Datei,Kursmodul angezeigt
19.01.2022 19:42,StudierenderA,Datei: Introduction &amp, Motivation,Datei,Kursmodul angezeigt
27.11.2021 10:27,StudierenderA,Datei: Jupyter Notebook Rossmann pt.2 PDF,Datei,Kursmodul angezeigt,
12.12.2021 16:12,StudierenderA,Datei: Machine Learning/Supervised Learning,Datei,Kursmodul angezeigt,
12.12.2021 16:27,StudierenderA,Datei: Machine Learning/Supervised Learning,Datei,Kursmodul angezeigt,
15.01.2022 12:07,StudierenderA,Datei: Machine Learning/Supervised Learning,Datei,Kursmodul angezeigt,
19.01.2022 19:36,StudierenderA,Datei: Machine Learning/Supervised Learning,Datei,Kursmodul angezeigt,
6.12.2021 19:49,StudierenderA,Datei: Machine Learning/Supervised Learning,Datei,Kursmodul angezeigt,
8.12.2021 15:12,StudierenderA,Datei: Machine Learning/Supervised Learning,Datei,Kursmodul angezeigt,
1.12.2021 19:19,StudierenderA,Datei: Machine Learning/Unsupervised Learning,Datei,Kursmodul angezeigt,
15.01.2022 12:07,StudierenderA,Datei: Machine Learning/Unsupervised Learning,Datei,Kursmodul angezeigt,
19.01.2022 19:36,StudierenderA,Datei: Machine Learning/Unsupervised Learning,Datei,Kursmodul angezeigt,
6.12.2021 19:00,StudierenderA,Datei: Predicitive Maintenance Incomplete data,Datei,Kursmodul angezeigt,
12.12.2021 11:49,StudierenderA,Datei: Presenting of Analysis Results,Datei,Kursmodul angezeigt,
15.01.2022 12:07,StudierenderA,Datei: Presenting of Analysis Results,Datei,Kursmodul angezeigt,
15.12.2021 19:10,StudierenderA,Datei: Presenting of Analysis Results,Datei,Kursmodul angezeigt,
19.01.2022 19:53,StudierenderA,Datei: Presenting of Analysis Results,Datei,Kursmodul angezeigt,
1.12.2021 19:01,StudierenderA,Datei: preset for clustering,Datei,Kursmodul angezeigt,
1.12.2021 19:01,StudierenderA,Datei: Preset for Clustering - Test data,Datei,Kursmodul angezeigt,
15.11.2021 19:07,StudierenderA,Datei: Rossman Store Sales Download,Datei,Kursmodul angezeigt,
15.01.2022 12:07,StudierenderA,Datei: Use Cases,Datei,Kursmodul angezeigt,
19.01.2022 19:44,StudierenderA,Datei: Use Cases,Datei,Kursmodul angezeigt,
20.11.2021 10:32,StudierenderA,Datei: Use Cases,Datei,Kursmodul angezeigt,
13.11.2021 09:58,StudierenderA,Forum: Announcements,Forum,Thema angezeigt,
13.11.2021 09:58,StudierenderA,Forum: Announcements,Forum,Kursmodul angezeigt,
15.12.2021 18:19,StudierenderA,Forum: Announcements,Forum,Thema angezeigt,
15.12.2021 18:19,StudierenderA,Forum: Announcements,Forum,Kursmodul angezeigt,
20.11.2021 13:23,StudierenderA,Forum: Announcements,Forum,Thema angezeigt,
20.11.2021 13:23,StudierenderA,Forum: Announcements,Forum,Kursmodul angezeigt,
9.11.2021 17:44,StudierenderA,Forum: Announcements,Forum,Thema angezeigt,
9.11.2021 17:44,StudierenderA,Forum: Announcements,Forum,Kursmodul angezeigt,
21.12.2021 12:05,StudierenderA,Forum: Discussion forum,Forum,Thema angezeigt,
21.12.2021 12:05,StudierenderA,Forum: Discussion forum,Forum,Kursmodul angezeigt,
8.12.2021 15:11,StudierenderA,Forum: Discussion forum,Forum,Kursmodul angezeigt,
10.11.2021 18:22,StudierenderA,Gruppenwahl: Grouping,Gruppenwahl,Kursmodul angezeigt,
10.11.2021 18:25,StudierenderA,Gruppenwahl: Grouping,Gruppenwahl,Kursmodul angezeigt,
10.11.2021 18:25,StudierenderA,Gruppenwahl: Grouping,Gruppenwahl,Kursmodul angezeigt,
10.11.2021 18:25,StudierenderA,Gruppenwahl: Grouping,Gruppenwahl,Wahl durchgeführt,
13.11.2021 10:00,StudierenderA,Gruppenwahl: Grouping,Gruppenwahl,Kursmodul angezeigt,
1.12.2021 17:50,StudierenderA,Kurs: Big Data &amp, Machine Learning (Spezialisierung),System,Kurs angezeigt
1.12.2021 19:01,StudierenderA,Kurs: Big Data &amp, Machine Learning (Spezialisierung),System,Kurs angezeigt
1.12.2021 19:01,StudierenderA,Kurs: Big Data &amp, Machine Learning (Spezialisierung),System,Kurs angezeigt
1.12.2021 19:05,StudierenderA,Kurs: Big Data &amp, Machine Learning (Spezialisierung),System,Kurs angezeigt
1.12.2021 19:18,StudierenderA,Kurs: Big Data &amp, Machine Learning (Spezialisierung),System,Kurs angezeigt
10.11.2021 18:25,StudierenderA,Kurs: Big Data &amp, Machine Learning (Spezialisierung),System,Gruppenmitglied hinzugefügt
11.01.2022 23:42,StudierenderA,Kurs: Big Data &amp, Machine Learning (Spezialisierung),System,Nutzerübersicht für Kurs angezeigt
12.12.2021 11:49,StudierenderA,Kurs: Big Data &amp, Machine Learning (Spezialisierung),System,Kurs angezeigt
