,Zeit,Vollständiger Name,Ereigniskontext,Komponente,Ereignisname,Herkunft
1239,8.11.2022 19:27,Student13,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1241,8.11.2022 19:26,Student16,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1243,8.11.2022 19:26,Student31,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1245,8.11.2022 19:26,Student33,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1249,8.11.2022 19:25,Student34,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1280,8.11.2022 19:22,Student1,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1285,8.11.2022 19:21,Student36,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1295,8.11.2022 19:19,Student21,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1316,8.11.2022 19:15,Student25,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1329,8.11.2022 19:14,Student6,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1387,8.11.2022 19:03,Student23,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1394,8.11.2022 19:01,Student5,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1397,8.11.2022 19:01,Student32,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1412,8.11.2022 19:00,Student35,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1574,8.11.2022 18:45,Student36,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1595,8.11.2022 18:42,Student13,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1598,8.11.2022 18:41,Student1,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1606,8.11.2022 18:41,Student16,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1608,8.11.2022 18:41,Student34,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1611,8.11.2022 18:41,Student31,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1614,8.11.2022 18:41,Student6,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1616,8.11.2022 18:41,Student33,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1620,8.11.2022 18:40,Student23,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1622,8.11.2022 18:40,Student21,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1635,8.11.2022 18:40,Student5,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1638,8.11.2022 18:40,Student25,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1642,8.11.2022 18:39,Student32,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1644,8.11.2022 18:39,Student35,Test: Exam Attempt 1,Test,Testversuch gestartet,web
1674,8.11.2022 18:36,Student22,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1676,8.11.2022 18:36,Student8,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1678,8.11.2022 18:35,Student37,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1683,8.11.2022 18:35,Student11,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1686,8.11.2022 18:35,Student30,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1706,8.11.2022 18:34,Student24,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1738,8.11.2022 18:32,Student9,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1783,8.11.2022 18:24,Student19,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1801,8.11.2022 18:22,Student18,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1828,8.11.2022 18:18,Student14,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1832,8.11.2022 18:17,Student27,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1864,8.11.2022 18:10,Student26,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
1883,8.11.2022 18:09,Student29,Test: Exam Attempt 1,Test,Testversuch eingereicht,web
2052,8.11.2022 17:51,Student24,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2055,8.11.2022 17:51,Student14,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2056,8.11.2022 17:51,Student29,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2059,8.11.2022 17:51,Student26,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2062,8.11.2022 17:51,Student27,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2064,8.11.2022 17:51,Student11,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2067,8.11.2022 17:51,Student22,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2069,8.11.2022 17:51,Student9,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2071,8.11.2022 17:51,Student8,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2073,8.11.2022 17:51,Student19,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2076,8.11.2022 17:51,Student18,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2077,8.11.2022 17:51,Student30,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2081,8.11.2022 17:51,Student37,Test: Exam Attempt 1,Test,Testversuch gestartet,web
2134,8.11.2022 17:48,Student36,Test: Quiz 6 (Kopie),Test,Testversuch gestartet,web
2205,8.11.2022 17:28,Student30,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2207,8.11.2022 17:28,Student30,Test: Quiz 5 (Kopie),Test,Testversuch eingereicht,web
2213,8.11.2022 17:26,Student25,Test: Quiz 7,Test,Testversuch eingereicht,web
2216,8.11.2022 17:24,Student34,Test: Quiz 6 (Kopie),Test,Testversuch gestartet,web
2220,8.11.2022 17:24,Student34,Test: Quiz 5 (Kopie),Test,Testversuch eingereicht,web
2226,8.11.2022 17:21,Student30,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
2231,8.11.2022 17:17,Student6,Test: Quiz 7,Test,Testversuch eingereicht,web
2255,8.11.2022 16:58,Student6,Test: Quiz 7,Test,Testversuch gestartet,web
2276,8.11.2022 16:47,Student9,Test: Quiz 6 (Kopie),Test,Testversuch gestartet,web
2280,8.11.2022 16:47,Student24,Test: Quiz 6 (Kopie),Test,Testversuch eingereicht,web
2287,8.11.2022 16:45,Student25,Test: Quiz 7,Test,Testversuch gestartet,web
2306,8.11.2022 16:24,Student34,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2309,8.11.2022 16:24,Student34,Test: Quiz 4 (Kopie),Test,Testversuch eingereicht,web
2320,8.11.2022 16:18,Student29,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
2324,8.11.2022 16:16,Student24,Test: Quiz 6 (Kopie),Test,Testversuch gestartet,web
2328,8.11.2022 16:16,Student24,Test: Quiz 5 (Kopie),Test,Testversuch eingereicht,web
2344,8.11.2022 16:08,Student13,Test: Quiz 7,Test,Testversuch eingereicht,web
2354,8.11.2022 16:03,Student24,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2358,8.11.2022 16:03,Student24,Test: Quiz 4 (Kopie),Test,Testversuch eingereicht,web
2375,8.11.2022 15:55,Student24,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
2387,8.11.2022 15:52,Student13,Test: Quiz 7,Test,Testversuch gestartet,web
2391,8.11.2022 15:50,Student34,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
2394,8.11.2022 15:50,Student34,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
2406,8.11.2022 15:28,Student30,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2409,8.11.2022 15:28,Student30,Test: Quiz 4 (Kopie),Test,Testversuch eingereicht,web
2429,8.11.2022 15:06,Student25,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2432,8.11.2022 15:03,Student21,Test: Quiz 7 (Kopie),Test,Testversuch eingereicht,web
2457,8.11.2022 14:50,Student30,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
2462,8.11.2022 14:46,Student34,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
2466,8.11.2022 14:46,Student34,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
2492,8.11.2022 14:27,Student21,Test: Quiz 7 (Kopie),Test,Testversuch gestartet,web
2496,8.11.2022 14:26,Student21,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
2500,8.11.2022 14:25,Student21,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
2514,8.11.2022 14:23,Student21,Test: Quiz 5 (Kopie),Test,Testversuch eingereicht,web
2526,8.11.2022 14:18,Student21,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2528,8.11.2022 14:15,Student21,Test: Quiz 5 (Kopie),Test,Testversuch eingereicht,web
2551,8.11.2022 14:09,Student32,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
2557,8.11.2022 14:07,Student34,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
2563,8.11.2022 14:07,Student34,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
2568,8.11.2022 14:06,Student11,Test: Quiz 7,Test,Testversuch eingereicht,web
2578,8.11.2022 14:03,Student13,Test: Quiz 7,Test,Testversuch eingereicht,web
2584,8.11.2022 14:03,Student16,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2587,8.11.2022 14:03,Student16,Test: Quiz 6 (Kopie),Test,Testversuch eingereicht,web
2593,8.11.2022 14:02,Student11,Test: Quiz 7,Test,Testversuch gestartet,web
2604,8.11.2022 14:00,Student34,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
2625,8.11.2022 13:47,Student21,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2634,8.11.2022 13:45,Student32,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
2636,8.11.2022 13:44,Student32,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
2656,8.11.2022 13:34,Student32,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
2693,8.11.2022 13:19,Student13,Test: Quiz 7,Test,Testversuch gestartet,web
2696,8.11.2022 13:18,Student32,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
2697,8.11.2022 13:18,Student25,Test: Quiz 4 (Kopie),Test,Testversuch eingereicht,web
2709,8.11.2022 13:14,Student18,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2716,8.11.2022 13:12,Student32,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
2721,8.11.2022 13:09,Student16,Test: Quiz 6 (Kopie),Test,Testversuch gestartet,web
2724,8.11.2022 13:09,Student16,Test: Quiz 7 (Kopie),Test,Testversuch eingereicht,web
2739,8.11.2022 13:01,Student25,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
2749,8.11.2022 12:52,Student37,Test: Quiz 7,Test,Testversuch eingereicht,web
2756,8.11.2022 12:44,Student18,Test: Quiz 7 (Kopie),Test,Testversuch eingereicht,web
2760,8.11.2022 12:43,Student32,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2765,8.11.2022 12:40,Student16,Test: Quiz 7 (Kopie),Test,Testversuch gestartet,web
2774,8.11.2022 12:37,Student37,Test: Quiz 7,Test,Testversuch gestartet,web
2790,8.11.2022 12:12,Student9,Test: Quiz 5 (Kopie),Test,Testversuch eingereicht,web
2798,8.11.2022 12:09,Student25,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
2804,8.11.2022 12:03,Student25,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
2814,8.11.2022 11:54,Student32,Test: Quiz 6 (Kopie),Test,Testversuch gestartet,web
2818,8.11.2022 11:54,Student32,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
2820,8.11.2022 11:54,Student32,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
2824,8.11.2022 11:53,Student32,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
2826,8.11.2022 11:52,Student18,Test: Quiz 7 (Kopie),Test,Testversuch gestartet,web
2827,8.11.2022 11:52,Student25,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
2844,8.11.2022 11:48,Student32,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
2849,8.11.2022 11:46,Student32,Test: Quiz 7,Test,Testversuch eingereicht,web
2857,8.11.2022 11:40,Student32,Test: Quiz 7,Test,Testversuch gestartet,web
2859,8.11.2022 11:40,Student32,Test: Quiz 7,Test,Testversuch eingereicht,web
2861,8.11.2022 11:40,Student9,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
2866,8.11.2022 11:38,Student32,Test: Quiz 7,Test,Testversuch gestartet,web
2868,8.11.2022 11:38,Student32,Test: Quiz 7,Test,Testversuch eingereicht,web
2881,8.11.2022 11:24,Student9,Test: Quiz 4 (Kopie),Test,Testversuch eingereicht,web
2886,8.11.2022 11:21,Student32,Test: Quiz 7,Test,Testversuch gestartet,web
2888,8.11.2022 11:21,Student32,Test: Quiz 7,Test,Testversuch eingereicht,web
2916,8.11.2022 11:00,Student32,Test: Quiz 7,Test,Testversuch gestartet,web
2918,8.11.2022 11:00,Student32,Test: Quiz 7,Test,Testversuch eingereicht,web
2921,8.11.2022 10:59,Student32,Test: Quiz 7,Test,Testversuch gestartet,web
2923,8.11.2022 10:58,Student32,Test: Quiz 7,Test,Testversuch eingereicht,web
2934,8.11.2022 10:55,Student9,Test: Quiz 4 (Kopie),Test,Testversuch gestartet,web
2962,8.11.2022 10:29,Student32,Test: Quiz 7,Test,Testversuch gestartet,web
2964,8.11.2022 10:29,Student32,Test: Quiz 7,Test,Testversuch eingereicht,web
2972,8.11.2022 10:05,Student25,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
2977,8.11.2022 09:51,Student32,Test: Quiz 7,Test,Testversuch gestartet,web
2993,8.11.2022 09:14,Student34,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
3000,8.11.2022 07:01,Student25,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3018,8.11.2022 06:43,Student25,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
3026,8.11.2022 06:30,Student25,Test: Quiz 1 (Kopie),Test,Testversuch eingereicht,web
3038,8.11.2022 06:26,Student25,Test: Quiz 1 (Kopie),Test,Testversuch gestartet,web
3043,8.11.2022 04:43,Student30,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3045,8.11.2022 04:42,Student30,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3047,8.11.2022 04:42,Student30,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3049,8.11.2022 04:42,Student30,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3051,8.11.2022 04:42,Student30,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3053,8.11.2022 04:41,Student30,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3055,8.11.2022 04:41,Student30,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3059,8.11.2022 04:40,Student30,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3061,8.11.2022 04:40,Student30,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3066,8.11.2022 04:33,Student30,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3068,8.11.2022 04:33,Student30,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3074,8.11.2022 04:12,Student30,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3076,8.11.2022 04:12,Student30,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3080,8.11.2022 04:02,Student30,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3082,8.11.2022 04:02,Student30,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3086,8.11.2022 03:54,Student30,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3088,8.11.2022 03:53,Student30,Test: Quiz 3 (Kopie),Test,Testversuch eingereicht,web
3092,8.11.2022 03:35,Student30,Test: Quiz 3 (Kopie),Test,Testversuch gestartet,web
3095,8.11.2022 03:24,Student30,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3103,8.11.2022 03:23,Student30,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
3105,8.11.2022 03:23,Student30,Test: Quiz 2 (Kopie),Test,Testversuch eingereicht,web
3112,8.11.2022 03:22,Student30,Test: Quiz 2 (Kopie),Test,Testversuch gestartet,web
