Unnamed: 0,Zeit,Vollständiger Name,Ereigniskontext,Komponente,Ereignisname,Herkunft
0,24.11.2022 13:18,Student21,Datei: Session 4,Datei,Kursmodul angezeigt,web
1,24.11.2022 13:18,Student21,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
8,24.11.2022 03:59,0,Kurs: Scripting #2 0 Python,System,Kursbeschreibung angezeigt,web
9,24.11.2022 01:47,Student34,Kurs: Scripting #2 0 Python,System,Nutzerübersicht für Kurs angezeigt,web
16,23.11.2022 19:23,Student35,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
17,23.11.2022 19:23,Student35,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
18,23.11.2022 19:23,Student35,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
19,23.11.2022 15:21,Student31,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
20,23.11.2022 13:27,Student11,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
21,23.11.2022 10:33,Student33,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
22,23.11.2022 10:33,Student33,Test: Exam Attempt 1,Test,Kursmodul angezeigt,web
23,23.11.2022 10:33,Student33,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
24,23.11.2022 10:33,Student33,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
25,23.11.2022 10:31,Student33,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
26,23.11.2022 10:29,Student33,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
27,22.11.2022 19:48,Student35,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
28,22.11.2022 10:53,Student22,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,ws
29,21.11.2022 23:01,Student21,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
30,21.11.2022 17:57,Student11,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
31,21.11.2022 17:11,Student18,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
32,21.11.2022 14:29,Student16,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
33,21.11.2022 14:23,Student36,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
34,21.11.2022 11:17,Student5,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
37,21.11.2022 02:32,0,Kurs: Scripting #2 0 Python,System,Kursbeschreibung angezeigt,web
38,20.11.2022 10:58,Student33,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
39,19.11.2022 20:47,Student25,Datei: Session 1,Datei,Kursmodul angezeigt,web
40,19.11.2022 20:47,Student25,Datei: Organizational things,Datei,Kursmodul angezeigt,web
41,19.11.2022 20:47,Student25,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
42,19.11.2022 17:03,Student7,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
43,19.11.2022 16:19,Student25,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
44,19.11.2022 13:46,Student22,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,ws
45,19.11.2022 12:46,Student22,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
46,18.11.2022 11:53,Student23,Test: Quiz 1,Test,Kursmodul angezeigt,web
47,18.11.2022 11:52,Student23,Test: Quiz 1,Test,Kursmodul angezeigt,web
48,18.11.2022 11:52,Student23,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
49,18.11.2022 11:35,Student34,Kurs: Scripting #2 0 Python,System,Nutzerübersicht für Kurs angezeigt,web
50,18.11.2022 10:22,Student11,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
51,18.11.2022 10:21,Student11,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
52,18.11.2022 10:21,Student11,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
53,18.11.2022 10:08,Student5,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
54,18.11.2022 10:07,Student5,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
55,18.11.2022 10:07,Student5,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
56,18.11.2022 09:18,Student8,Datei: Session 1,Datei,Kursmodul angezeigt,web
57,18.11.2022 09:18,Student8,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
58,18.11.2022 09:18,Student8,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
59,17.11.2022 19:37,Student16,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
60,17.11.2022 19:29,Student33,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
61,17.11.2022 19:28,Student31,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
62,17.11.2022 18:00,Student16,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
63,17.11.2022 18:00,Student16,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
64,17.11.2022 18:00,Student16,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
65,17.11.2022 18:00,Student16,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
66,17.11.2022 17:58,Student11,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
67,17.11.2022 17:23,Student22,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,ws
68,17.11.2022 16:03,Student35,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
69,17.11.2022 16:03,Student35,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
70,17.11.2022 16:03,Student35,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
71,17.11.2022 16:00,Student1,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
72,17.11.2022 16:00,Student35,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
73,17.11.2022 16:00,Student35,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
74,17.11.2022 16:00,Student35,Datei: Organizational things,Datei,Kursmodul angezeigt,web
75,17.11.2022 16:00,Student35,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
76,17.11.2022 16:00,Student35,Forum: Announcements,Forum,Kursmodul angezeigt,web
77,17.11.2022 15:59,Student35,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
78,17.11.2022 15:55,Student1,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
79,17.11.2022 15:55,Student1,Kurs: Scripting #2 0 Python,Teilnehmer/innenübersicht,Bewertungsübersicht angezeigt,web
80,17.11.2022 15:55,Student1,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
81,17.11.2022 15:28,Student16,Datei: Session 1,Datei,Kursmodul angezeigt,web
82,17.11.2022 15:27,Student16,Datei: Organizational things,Datei,Kursmodul angezeigt,web
83,17.11.2022 15:27,Student16,Datei: Organizational things,Datei,Kursmodul angezeigt,web
84,17.11.2022 15:27,Student16,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
85,17.11.2022 15:27,Student8,Kurs: Scripting #2 0 Python,System,Kurs angezeigt,web
